          date      open      high       low   close       volume
129 2024-10-03  244.4800  249.7900  237.8100  240.66   80729240.0
130 2024-10-04  246.6900  250.9600  244.5800  250.08   86726285.0
131 2024-10-07  249.0000  249.8300  240.7000  240.83   68113270.0
132 2024-10-08  243.5600  246.2100  240.5600  244.50   56303160.0
133 2024-10-09  243.8200  247.4300  239.5100  241.05   66289529.0
134 2024-10-10  241.8100  242.7899  232.3400  238.77   83087063.0
135 2024-10-11  220.1300  223.3400  214.3800  217.80  142628874.0
136 2024-10-14  220.1300  221.9100  213.7400  219.16   86291923.0
137 2024-10-15  220.0100  224.2600  217.1200  219.57   62988787.0
138 2024-10-16  221.4000  222.8199  218.9300  221.33   49632824.0
139 2024-10-17  221.5900  222.0800  217.9000  220.89   50791784.0
140 2024-10-18  220.7100  222.2800  219.2300  220.70   49611867.0
141 2024-10-21  218.9000  220.4800  215.7260  218.85   47328988.0
142 2024-10-22  217.3100  218.2200  215.2600  217.97   43268741.0
143 2024-10-23  217.1250  218.7200  212.1100  213.65   80938892.0
144 2024-10-24  244.6800  262.1199  242.6500  260.48  204491903.0
145 2024-10-25  256.0100  269.4900  255.3200  269.19  161611931.0
146 2024-10-28  270.0000  273.5360  262.2400  262.51  107653603.0
147 2024-10-29  264.5100  264.9800  255.5100  259.52   80521751.0
148 2024-10-30  258.0350  263.3500  255.8201  257.55   53993576.0
149 2024-10-31  257.9900  259.7500  249.2500  249.85   66575292.0
150 2024-11-01  252.0430  254.0000  246.6300  248.98   57544757.0
151 2024-11-04  244.5600  248.9000  238.8800  242.84   68802354.0
152 2024-11-05  247.3400  255.2799  246.2101  251.44   69282505.0
153 2024-11-06  284.6700  289.5900  275.6200  288.53  165228710.0
154 2024-11-07  288.8900  299.7500  285.5200  296.91  117309232.0
155 2024-11-08  299.1400  328.7100  297.6600  321.22  204782763.0
156 2024-11-11  346.3000  358.6400  336.0000  350.00  210521625.0
157 2024-11-12  342.7400  345.8400  323.3100  328.49  155726016.0
158 2024-11-13  335.8500  344.5999  322.5000  330.24  125405599.0
159 2024-11-14  327.6900  329.9800  310.3700  311.18  120726109.0
160 2024-11-15  310.5700  324.6799  309.2200  320.72  114440286.0
161 2024-11-18  340.7300  348.5499  330.0100  338.74  126547455.0
162 2024-11-19  335.7600  347.3799  332.7500  346.00   88852452.0
163 2024-11-20  345.0000  346.5999  334.3000  342.03   66340650.0
164 2024-11-21  343.8100  347.9899  335.2800  339.64   58011719.0
165 2024-11-22  341.0850  361.5300  337.7000  352.56   89140722.0
166 2024-11-25  360.1400  361.9300  338.2000  338.59   95890899.0
167 2024-11-26  341.0000  346.9600  335.6600  338.23   62295857.0
168 2024-11-27  341.8000  342.5500  326.5900  332.89   57896439.0
169 2024-11-29  336.0800  345.4500  334.6500  345.16   37167621.0
170 2024-12-02  352.3800  360.0000  351.1501  357.09   77986478.0
171 2024-12-03  351.8000  355.6900  348.2000  351.42   58267196.0
172 2024-12-04  353.0000  358.1000  348.6000  357.93   50810874.0
173 2024-12-05  359.8700  375.4300  359.5000  369.49   81403569.0
174 2024-12-06  377.4200  389.4900  370.8000  389.22   81455834.0
175 2024-12-09  397.6100  404.8000  378.0100  389.79   96359173.0
176 2024-12-10  392.6800  409.7300  390.8500  400.99   97563578.0
177 2024-12-11  409.7000  424.8800  402.3800  424.77  104287559.0
178 2024-12-12  424.8400  429.3000  415.0000  418.10   87752225.0
179 2024-12-13  420.0000  436.3000  415.7100  436.23   89000158.0
180 2024-12-16  441.0900  463.1900  436.1500  463.02  114083811.0
181 2024-12-17  475.9000  483.9900  457.5101  479.86  131222978.0
182 2024-12-18  466.4950  488.5399  427.0100  440.13  149340788.0
183 2024-12-19  451.8800  456.3600  420.0200  436.17  118566146.0
184 2024-12-20  425.5050  447.0800  417.6400  421.06  132216176.0
185 2024-12-23  431.0000  434.5100  415.4112  430.60   72698055.0
186 2024-12-24  435.9000  462.7800  435.1400  462.28   59551750.0
187 2024-12-26  465.1600  465.3299  451.0200  454.13   76651210.0
188 2024-12-27  449.5200  450.0000  426.5000  431.66   82666821.0
189 2024-12-30  419.4000  427.0000  415.7500  417.41   64941012.0
190 2024-12-31  423.7900  427.9300  402.5400  403.84   76825121.0
191 2025-01-02  390.1000  392.7299  373.0400  379.28  109710749.0
192 2025-01-03  381.4800  411.8799  379.4500  410.44   95423329.0
193 2025-01-06  423.2000  426.4300  401.7000  411.05   85516534.0
194 2025-01-07  405.8300  414.3300  390.0000  394.36   75699525.0
195 2025-01-08  392.9500  402.4999  387.4000  394.94   73038805.0
196 2025-01-10  391.4000  399.2800  377.2900  394.74   62287333.0
197 2025-01-13  383.2100  403.7900  380.0700  403.31   67580494.0
198 2025-01-14  414.3400  422.6400  394.5400  396.36   84565022.0
199 2025-01-15  409.9000  429.8000  405.6610  428.22   81375460.0
200 2025-01-16  423.4900  424.0000  409.1300  413.82   68335151.0
201 2025-01-17  421.5000  439.7400  419.7500  426.50   94991429.0
202 2025-01-21  432.6400  433.2000  406.3100  424.07   87320894.0
203 2025-01-22  416.8100  428.0000  414.5900  415.11   60963342.0
204 2025-01-23  416.0600  420.7300  408.9500  412.38   50690592.0
205 2025-01-24  414.4500  418.8800  405.7800  406.58   56427149.0
206 2025-01-27  394.8000  406.6900  389.0000  397.15   58125510.0
207 2025-01-28  396.9100  400.5900  386.5000  398.09   48910676.0
208 2025-01-29  395.2100  398.5899  384.4800  389.10   68033648.0
209 2025-01-30  410.7800  412.5000  384.4100  400.28   98092879.0
210 2025-01-31  401.5300  419.9900  401.3400  404.60   83568219.0
211 2025-02-03  386.6800  389.1700  374.3600  383.68   93732122.0
212 2025-02-04  382.6300  394.0000  381.4000  392.21   57072235.0
213 2025-02-05  387.5100  388.3900  375.5300  378.17   57614721.0
214 2025-02-06  373.0300  375.4000  363.1800  374.32   77918230.0
215 2025-02-07  370.1900  380.5459  360.3400  361.62   70298258.0
216 2025-02-10  356.2100  362.7000  350.5100  350.73   77514903.0
217 2025-02-11  345.8000  349.3700  325.1000  328.50  118543400.0
218 2025-02-12  329.9400  346.4000  329.1200  336.51  105382729.0
219 2025-02-13  345.0000  358.6900  342.8500  355.94   89441519.0
220 2025-02-14  360.6200  362.0000  347.5000  355.84   68277279.0
221 2025-02-18  355.0100  359.1000  350.0200  354.11   51631702.0
222 2025-02-19  354.0000  367.3400  353.6700  360.56   67094374.0
223 2025-02-20  361.5100  362.3000  348.0000  354.40   45965354.0
224 2025-02-21  353.4400  354.9800  334.4200  337.80   74058648.0
225 2025-02-24  338.1400  342.3973  324.7000  330.53   76052321.0
226 2025-02-25  327.0250  328.8900  297.2512  302.80  134228777.0
227 2025-02-26  303.7150  309.0000  288.0400  290.80  100118276.0
228 2025-02-27  291.1600  297.2300  280.8800  281.95  101748197.0
229 2025-02-28  279.5000  293.8800  273.6000  292.98  115696968.0
230 2025-03-03  300.3400  303.9400  277.3000  284.65  115551414.0
231 2025-03-04  270.9300  284.3500  261.8401  272.04  126706623.0
232 2025-03-05  272.9200  279.5500  267.7100  279.10   94042913.0
233 2025-03-06  272.0600  272.6500  260.0200  263.45   98451566.0
234 2025-03-07  259.3200  266.2499  250.7300  262.67  102369640.0
235 2025-03-10  252.5400  253.3700  220.0000  222.15  185037825.0
236 2025-03-11  225.3050  237.0649  217.0200  230.58  174896415.0
237 2025-03-12  247.2200  251.8400  241.1000  248.09  142215681.0
238 2025-03-13  248.1250  248.2900  232.6000  240.68  114813525.0
239 2025-03-14  247.3100  251.5800  240.7300  249.98  100242264.0
240 2025-03-17  245.0550  245.4000  232.8000  238.01  111900565.0
241 2025-03-18  228.1550  230.1000  222.2800  225.31  111477636.0
242 2025-03-19  231.6100  241.4100  229.2010  235.86  111993753.0
243 2025-03-20  233.3450  238.0000  230.0501  236.26   99028270.0
244 2025-03-21  234.9850  249.5200  234.5500  248.71  132728684.0
245 2025-03-24  258.0750  278.6400  256.3300  278.39  169079865.0
246 2025-03-25  283.6000  288.2000  271.2800  288.14  150361538.0
247 2025-03-26  282.6600  284.9000  266.5100  272.06  156254441.0
248 2025-03-27  272.4800  291.8500  271.8216  273.13  162572146.0
249 2025-03-28  275.5750  276.1000  260.5700  263.55  123809389.0
250 2025-03-31  249.3100  260.5600  243.3601  259.16  134008936.0
251 2025-04-01  263.8000  277.4500  259.2500  268.46  146486911.0
252 2025-04-02  254.6000  284.9900  251.2700  282.76  212787817.0
253 2025-04-03  265.2900  276.3000  261.5100  267.28  136174291.0
254 2025-04-04  255.3800  261.0000  236.0000  239.43  181229353.0
255 2025-04-07  223.7800  252.0000  214.2500  233.29  183453776.0
256 2025-04-08  245.0000  250.4400  217.8000  221.86  171603472.0
257 2025-04-09  224.6900  274.6900  223.8800  272.20  219433373.0
